id,op,dtype,M,N,K,layout,stride,threads,provider,semantic,runtime_ns,gflops,bw_gbps,error,status
192,GEMM,f32,96,96,96,NT,1,24,SIMD_AVX2,reassoc,104292.80,16.97,1.06,0.000000,COMPLETED
193,GEMM,f32,96,96,96,TN,1,1,SIMD_AVX2,reassoc,141178.40,12.53,0.78,0.000000,COMPLETED
194,GEMM,f32,96,96,96,TN,1,4,SIMD_AVX2,reassoc,42093.00,42.04,2.63,0.000000,COMPLETED
195,GEMM,f32,96,96,96,TN,1,12,SIMD_AVX2,reassoc,17683.20,100.07,6.25,0.000000,COMPLETED
196,GEMM,f32,96,96,96,TN,1,24,SIMD_AVX2,reassoc,13011.80,135.99,8.50,0.000000,COMPLETED
197,GEMM,f32,96,96,96,TT,1,1,SIMD_AVX2,reassoc,1022350.60,1.73,0.11,0.000000,COMPLETED
198,GEMM,f32,96,96,96,TT,1,4,SIMD_AVX2,reassoc,423334.40,4.18,0.26,0.000000,COMPLETED
199,GEMM,f32,96,96,96,TT,1,12,SIMD_AVX2,reassoc,165925.00,10.66,0.67,0.000000,COMPLETED
200,GEMM,f32,96,96,96,TT,1,24,SIMD_AVX2,reassoc,114433.00,15.46,0.97,0.000000,COMPLETED
201,GEMM,f32,128,128,128,NN,1,1,SIMD_AVX2,reassoc,320762.80,13.08,0.61,0.000000,COMPLETED
202,GEMM,f32,128,128,128,NN,1,1,Eigen3,strict,60986.80,68.77,3.22,0.000000,COMPLETED
203,GEMM,f32,128,128,128,NN,1,4,SIMD_AVX2,reassoc,109572.20,38.28,1.79,0.000000,COMPLETED
204,GEMM,f32,128,128,128,NN,1,4,Eigen3,strict,26682.80,157.19,7.37,0.000000,COMPLETED
205,GEMM,f32,128,128,128,NN,1,12,SIMD_AVX2,reassoc,45483.00,92.22,4.32,0.000000,COMPLETED
206,GEMM,f32,128,128,128,NN,1,12,Eigen3,strict,29270.20,143.30,6.72,0.000000,COMPLETED
207,GEMM,f32,128,128,128,NN,1,24,SIMD_AVX2,reassoc,37825.00,110.89,5.20,0.000000,COMPLETED
208,GEMM,f32,128,128,128,NN,1,24,Eigen3,strict,142515.80,29.43,1.38,0.000000,COMPLETED
209,GEMM,f32,128,128,128,NT,1,1,SIMD_AVX2,reassoc,2583748.00,1.62,0.08,0.000000,COMPLETED
210,GEMM,f32,128,128,128,NT,1,4,SIMD_AVX2,reassoc,1084131.00,3.87,0.18,0.000000,COMPLETED
211,GEMM,f32,128,128,128,NT,1,12,SIMD_AVX2,reassoc,425194.60,9.86,0.46,0.000000,COMPLETED
212,GEMM,f32,128,128,128,NT,1,24,SIMD_AVX2,reassoc,284499.00,14.74,0.69,0.000000,COMPLETED
213,GEMM,f32,128,128,128,TN,1,1,SIMD_AVX2,reassoc,322727.60,13.00,0.61,0.000000,COMPLETED
214,GEMM,f32,128,128,128,TN,1,4,SIMD_AVX2,reassoc,97431.00,43.05,2.02,0.000000,COMPLETED
215,GEMM,f32,128,128,128,TN,1,12,SIMD_AVX2,reassoc,44820.40,93.58,4.39,0.000000,COMPLETED
216,GEMM,f32,128,128,128,TN,1,24,SIMD_AVX2,reassoc,30999.80,135.30,6.34,0.000000,COMPLETED
217,GEMM,f32,128,128,128,TT,1,1,SIMD_AVX2,reassoc,2732551.40,1.53,0.07,0.000000,COMPLETED
218,GEMM,f32,128,128,128,TT,1,4,SIMD_AVX2,reassoc,1111523.40,3.77,0.18,0.000000,COMPLETED
219,GEMM,f32,128,128,128,TT,1,12,SIMD_AVX2,reassoc,439224.80,9.55,0.45,0.000000,COMPLETED
